# bins	 distribution
0.030000	0.000000
0.090000	0.000000
0.150000	0.000000
0.210000	0.000000
0.270000	0.000000
0.330000	0.000000
0.390000	0.003097
0.450000	0.069677
0.510000	0.514059
0.570000	1.604112
0.630000	2.677134
0.690000	3.248483
0.750000	3.102936
0.810000	2.351976
0.870000	1.735724
0.930000	0.929023
0.990000	0.368512
1.050000	0.054193
1.110000	0.006193
1.170000	0.001548
