# bins	 distribution
0.030000	0.000000
0.090000	0.000000
0.150000	0.000000
0.210000	0.012960
0.270000	0.660964
0.330000	2.034733
0.390000	3.369622
0.450000	2.617937
0.510000	2.397615
0.570000	1.762571
0.630000	1.244168
0.690000	0.997926
0.750000	0.673924
0.810000	0.492483
0.870000	0.207361
0.930000	0.155521
0.990000	0.038880
1.050000	0.000000
1.110000	0.000000
1.170000	0.000000
