# bins	 distribution
0.030000	0.000000
0.090000	0.000000
0.150000	0.000000
0.210000	0.000000
0.270000	0.000000
0.330000	0.000000
0.390000	0.000000
0.450000	0.000000
0.510000	0.000000
0.570000	0.000000
0.630000	0.035744
0.690000	0.417315
0.750000	1.700534
0.810000	3.593194
0.870000	4.846031
0.930000	4.258038
0.990000	1.645131
1.050000	0.161743
1.110000	0.008042
1.170000	0.000894
