pixels	vol_theo	vol_num	a_theo	a_faces	a_marching	a_conv_marching	a_porespy	a_gradient	a_conv_gradient	t_faces	t_marching	t_conv_marching	t_porespy	t_gradient	t_conv_gradient	con_s_side	con_s_edge	con_s_corner	con_p_side	con_p_edge	con_p_corner	tau_solid	tau_pore
6	0.7515308511579526	0.5925925925925926	1.026016135613444	1.6000000834465027	0.7743773283781828	0.6307665506998698	1.0679035893192999	0.7337989201291589	0.3364279453387056	0.0012042522430419922	0.0005822181701660156	0.0017168521881103516	0.04116010665893555	0.00018095970153808594	0.00033855438232421875	0.0	1.0	1.0	0.6363636363636364	1.0	1.0	0.0	2.3333334922790527
7	0.7515308511579523	0.6880466472303207	0.8794424019543804	1.0816326141357422	0.6850561470053982	0.21897870389087554	0.7945932104705722	0.6867809627188421	0.3405748173002596	0.0007252693176269531	0.0003972053527832031	0.0004241466522216797	0.03757357597351074	0.00017547607421875	0.0003275871276855469	1.0	1.0	1.0	0.0	1.0	1.0	2.445708751678467	0.0
8	0.7515308511579528	0.6875	0.769512101710083	1.2857142984867096	0.6734408140182495	0.16664917767047882	0.7896645069122314	0.5504071163750215	0.24091882502497258	0.0006489753723144531	0.0004353523254394531	0.0003197193145751953	0.03253293037414551	0.0002446174621582031	0.0005462169647216797	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
9	0.7515308511579528	0.6721536351165981	0.6840107570756294	0.9722221791744232	0.5960751129275977	0.43993855961719824	0.8909533674661351	0.5166604039407726	0.31934234375120574	0.0007915496826171875	0.0004718303680419922	0.00046133995056152344	0.035703182220458984	0.0003502368927001953	0.0005021095275878906	1.0	1.0	1.0	0.8870292887029289	1.0	1.0	0.0	0.0
10	0.7515308511579525	0.64	0.6156096813680664	0.8533333539962769	0.5149122314453125	0.3481278076171875	0.716374755859375	0.41049800466613384	0.29998753576623394	0.0007116794586181641	0.0005564689636230469	0.00045871734619140625	0.033425331115722656	0.00027251243591308594	0.0004088878631591797	0.0	1.0	1.0	0.28888888888888886	1.0	1.0	0.0	2.5999999046325684
11	0.7515308511579527	0.7783621337340345	0.5596451648800603	0.6595041453838348	0.47306964739563767	0.14135363870415807	0.5482619792155804	0.3401169427240594	0.23481444642398855	0.0007753372192382812	0.0007066726684570312	0.00043845176696777344	0.03557920455932617	0.00036525726318359375	0.00038623809814453125	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
12	0.7515308511579526	0.7037037037037037	0.513008067806722	0.7878787815570831	0.4843971817581742	0.280517648767542	0.6431102752685547	0.34099045563914965	0.2545338710181746	0.0008118152618408203	0.0008137226104736328	0.0005528926849365234	0.03358912467956543	0.0003650188446044922	0.0004372596740722656	0.0	1.0	1.0	0.5	1.0	1.0	0.0	2.555558204650879
13	0.7515308511579527	0.7619481110605371	0.4735459087446665	0.6420118510723114	0.4411211599802287	0.27201938412110266	0.6171393830720869	0.34291615563306244	0.23562480498761373	0.0007805824279785156	0.0008723735809326172	0.0006766319274902344	0.03308439254760742	0.00054931640625	0.00029730796813964844	1.0	1.0	1.0	0.8183556405353728	1.0	1.0	1.9655290842056274	5.432131290435791
14	0.7515308511579523	0.6997084548104956	0.4397212009771902	0.7158555686473846	0.4520686291397139	0.32033207395681484	0.6336299796146136	0.3558708157313627	0.2601723573634555	0.0007214546203613281	0.0009112358093261719	0.0007393360137939453	0.03110504150390625	0.0005352497100830078	0.00029659271240234375	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.7367353439331055
15	0.7515308511579526	0.752	0.41040645424537764	0.5657142698764801	0.3852490596064815	0.2438870804398148	0.544050708912037	0.306071000098188	0.22805595253371946	0.0007715225219726562	0.0009884834289550781	0.0007228851318359375	0.03292560577392578	0.00030231475830078125	0.0004448890686035156	1.0	1.0	1.0	0.8506571087216248	1.0	1.0	2.2452597618103027	3.683716058731079
16	0.7515308511579528	0.703125	0.3847560508550415	0.6000000089406967	0.38900306820869446	0.26927056908607483	0.5339329838752747	0.33563945079031404	0.23551053616049372	0.0007956027984619141	0.0010776519775390625	0.0009281635284423828	0.031234264373779297	0.0005557537078857422	0.00033473968505859375	0.0	1.0	1.0	1.0	1.0	1.0	0.0	3.659306764602661
17	0.7515308511579527	0.7425198453083656	0.3621233419812156	0.49437716603279114	0.3336783668646957	0.23392960361858844	0.49497625877773255	0.27950708260102297	0.21844332314181006	0.0008487701416015625	0.0011501312255859375	0.0009655952453613281	0.031131744384765625	0.0005567073822021484	0.0003581047058105469	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
18	0.7515308511579528	0.7379972565157751	0.3420053785378147	0.4967320114374161	0.357576430416238	0.2224045323082776	0.4703701526866855	0.2725855971293379	0.20644229739385767	0.0009047985076904297	0.0014095306396484375	0.0009851455688476562	0.03142142295837402	0.0005726814270019531	0.0003771781921386719	1.0	1.0	1.0	1.0	1.0	1.0	3.2367780208587646	4.028794765472412
