pixels	vol_theo	vol_num	a_theo	a_faces	a_marching	a_conv_marching	a_porespy	a_gradient	a_conv_gradient	a_gradient_GPU	t_faces	t_marching	t_conv_marching	t_porespy	t_gradient	t_conv_gradient	t_gradient_GPU	con_s_side	con_s_edge	con_s_corner	con_p_side	con_p_edge	con_p_corner	tau_solid	tau_pore
6	0.7404804896930614	0.5925925925925926	1.047197551196598	1.6000000834465027	0.7743773283781828	0.6307665506998698	1.0679035893192999	0.7337989201291589	0.3364279453387056	0.7337989100703487	0.019747018814086914	0.0018079280853271484	0.0004878044128417969	0.07313942909240723	0.00013875961303710938	0.0002868175506591797	0.061205387115478516	0.0	1.0	1.0	0.6363636363636364	1.0	1.0	0.0	2.3333334922790527
7	0.740480489693061	0.6880466472303207	0.8975979010256551	1.0816326141357422	0.6850561470053982	0.21897870389087554	0.7945932104705722	0.6867809627188421	0.3405748173002596	0.686780968490912	0.0006124973297119141	0.00036025047302246094	0.000263214111328125	0.017732858657836914	0.00018906593322753906	0.00021839141845703125	0.0004341602325439453	1.0	1.0	1.0	0.0	1.0	1.0	2.445708990097046	0.0
8	0.7404804896930611	0.6875	0.7853981633974485	1.2857142984867096	0.6734408140182495	0.16664917767047882	0.7896645069122314	0.5504071163750215	0.24091882502497258	0.5504071116447449	0.0005524158477783203	0.0003840923309326172	0.0002608299255371094	0.016789674758911133	0.00012755393981933594	0.0002589225769042969	0.00037026405334472656	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
9	0.7404804896930612	0.6721536351165981	0.6981317007977319	0.9722221791744232	0.5960751129275977	0.43993855961719824	0.8909533674661351	0.5166604039407726	0.31934234375120574	0.5166604208194016	0.0005900859832763672	0.0004229545593261719	0.0003781318664550781	0.016571521759033203	0.00024080276489257812	0.0003027915954589844	0.00036787986755371094	1.0	1.0	1.0	0.8870292887029289	1.0	1.0	0.0	0.0
10	0.740480489693061	0.64	0.6283185307179587	0.8533333539962769	0.5149122314453125	0.3481278076171875	0.716374755859375	0.41049800466613384	0.29998753576623394	0.41049798583984376	0.0005762577056884766	0.00045680999755859375	0.0003421306610107422	0.0167694091796875	0.00033974647521972656	0.0001533031463623047	0.00037097930908203125	0.0	1.0	1.0	0.28888888888888886	1.0	1.0	0.0	2.6000001430511475
11	0.7404804896930611	0.7332832456799399	0.5711986642890533	0.7586776614189148	0.4982289257665759	0.29654733154847157	0.6978837721872652	0.4190647746250815	0.26494822613688696	0.4190647231287566	0.0006127357482910156	0.0005731582641601562	0.00043702125549316406	0.01696014404296875	0.0002391338348388672	0.0003046989440917969	0.0003707408905029297	1.0	1.0	1.0	0.8	1.0	1.0	0.0	0.0
12	0.7404804896930614	0.7037037037037037	0.523598775598299	0.7878787815570831	0.4843971817581742	0.280517648767542	0.6431102752685547	0.34099045563914965	0.2545338710181746	0.3409904550623011	0.0006232261657714844	0.0006849765777587891	0.0004127025604248047	0.016858816146850586	0.0002892017364501953	0.0002613067626953125	0.00036597251892089844	0.0	1.0	1.0	0.5	1.0	1.0	0.0	2.555558204650879
13	0.7404804896930612	0.7455621301775148	0.48332194670612216	0.6301774978637695	0.4082621876955792	0.2712444848888399	0.6163644004964156	0.3434425624633436	0.242025579754586	0.3434425739467171	0.0006539821624755859	0.0007183551788330078	0.0005400180816650391	0.017107248306274414	0.00025343894958496094	0.0002799034118652344	0.0003688335418701172	1.0	1.0	1.0	0.7871198568872987	1.0	1.0	2.3880300521850586	4.091120719909668
14	0.740480489693061	0.6997084548104956	0.44879895051282753	0.7158555686473846	0.4520686291397139	0.32033207395681484	0.6336299796146136	0.3558708157313627	0.2601723573634555	0.3558708168674836	0.00069427490234375	0.0009565353393554688	0.0007283687591552734	0.017565250396728516	0.0002689361572265625	0.0002875328063964844	0.0003662109375	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.7367353439331055
15	0.740480489693061	0.7271111111111112	0.4188790204786391	0.573333352804184	0.3757699652777778	0.2714039532696759	0.5666202980324074	0.3257797650560377	0.24348994613916575	0.32577976707175926	0.0007636547088623047	0.0009677410125732422	0.0008084774017333984	0.017635107040405273	0.00030517578125	0.0003001689910888672	0.0003762245178222656	1.0	1.0	1.0	1.0	1.0	1.0	2.7080395221710205	3.4616785049438477
16	0.7404804896930611	0.703125	0.39269908169872425	0.6000000089406967	0.38900306820869446	0.26927056908607483	0.5339329838752747	0.33563945079031404	0.23551053616049372	0.33563944697380066	0.0007817745208740234	0.0011563301086425781	0.0009407997131347656	0.01777195930480957	0.0003807544708251953	0.00019741058349609375	0.0003688335418701172	0.0	1.0	1.0	1.0	1.0	1.0	0.0	3.6577842235565186
17	0.7404804896930612	0.725422348870344	0.3695991357164463	0.5047578066587448	0.33369948629592405	0.23855023701468045	0.49635712173061264	0.2884746249555282	0.22405530337225169	0.2884746344201608	0.0008180141448974609	0.00121307373046875	0.0009799003601074219	0.017778396606445312	0.00040984153747558594	0.00020813941955566406	0.00036978721618652344	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
18	0.7404804896930612	0.7297668038408779	0.34906585039886595	0.5228758156299591	0.35179219814975565	0.2224045323082776	0.4713941032503858	0.26911586153054107	0.20742207884882305	0.26911585092217505	0.0008704662322998047	0.0014262199401855469	0.0009868144989013672	0.017737150192260742	0.00040411949157714844	0.0002167224884033203	0.0003707408905029297	0.0	1.0	1.0	1.0	1.0	1.0	0.0	3.5371131896972656
