pixels	vol_theo	vol_num	a_theo	a_faces	a_marching	a_conv_marching	a_porespy	a_gradient	a_conv_gradient	t_faces	t_marching	t_conv_marching	t_porespy	t_gradient	t_conv_gradient	con_s_side	con_s_edge	con_s_corner	con_p_side	con_p_edge	con_p_corner	tau_solid	tau_pore
6	0.7944570846699286	0.5925925925925926	0.9363502101429146	1.6000000834465027	0.7743773283781828	0.6307665506998698	1.0679035893192999	0.7337989201291589	0.3364279453387056	0.0011403560638427734	0.0005218982696533203	0.0016415119171142578	0.03978681564331055	0.00018525123596191406	0.00033211708068847656	0.0	1.0	1.0	0.6363636363636364	1.0	1.0	0.0	2.3333334922790527
7	0.7944570846699283	0.7405247813411079	0.8025858944082123	1.0816326141357422	0.8443039429778608	0.16166110914580675	0.7910812867278608	0.6305458027983953	0.3066827829359274	0.0006968975067138672	0.0004630088806152344	0.00034427642822265625	0.03509640693664551	0.00018143653869628906	0.0003414154052734375	1.0	1.0	1.0	0.0	1.0	1.0	1.7686947584152222	0.0
8	0.7944570846699286	0.6875	0.702262657607186	1.2857142984867096	0.6734408140182495	0.16664917767047882	0.7896645069122314	0.5504071163750215	0.24091882502497258	0.0006620883941650391	0.000453948974609375	0.000335693359375	0.03728604316711426	0.0005295276641845703	0.0002803802490234375	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
9	0.7944570846699287	0.7873799725651578	0.6242334734286098	0.8611111342906952	0.583485293290252	0.0864974494170096	0.6254416467067473	0.4831951246668615	0.25446381651057776	0.001039743423461914	0.0006973743438720703	0.00037789344787597656	0.03627467155456543	0.00028586387634277344	0.0004763603210449219	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
10	0.7944570846699284	0.784	0.5618101260857488	0.9066666662693024	0.6516666259765626	0.11248292541503906	0.636937744140625	0.42535181843230646	0.21830901688919657	0.0007600784301757812	0.0007715225219726562	0.0003948211669921875	0.03208661079406738	0.00035881996154785156	0.0010638236999511719	1.0	1.0	1.0	0.0	1.0	1.0	2.0184361934661865	0.0
11	0.7944570846699287	0.7783621337340345	0.5107364782597716	0.6595041453838348	0.47306964739563767	0.14135363870415807	0.5482619792155804	0.3401169427240594	0.23481444642398855	0.0008044242858886719	0.0007061958312988281	0.0004317760467529297	0.030577421188354492	0.00019741058349609375	0.0005207061767578125	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
12	0.7944570846699286	0.7777777777777778	0.4681751050714573	0.6060605943202972	0.4246586693657769	0.15249065116599755	0.5228231924551504	0.3553480205523318	0.235942924681479	0.0009846687316894531	0.0008516311645507812	0.0005474090576171875	0.03577017784118652	0.00028204917907714844	0.0004703998565673828	1.0	1.0	1.0	0.0	1.0	1.0	1.5909491777420044	0.0
13	0.7944570846699288	0.7619481110605371	0.4321616354505761	0.6420118510723114	0.4411211599802287	0.27201938412110266	0.6171393830720869	0.34291615563306244	0.23562480498761373	0.0008203983306884766	0.0008931159973144531	0.0006775856018066406	0.03564310073852539	0.00047707557678222656	0.00029158592224121094	1.0	1.0	1.0	0.8183556405353728	1.0	1.0	1.9655290842056274	5.432131290435791
14	0.7944570846699283	0.7871720116618076	0.40129294720410613	0.6593406647443771	0.46313494357006196	0.1470675899405521	0.48485972234876096	0.29632425595421247	0.1966706437175978	0.001069784164428711	0.001215219497680664	0.0006084442138671875	0.033995866775512695	0.0005290508270263672	0.00031566619873046875	1.0	1.0	1.0	0.0	1.0	1.0	2.715707302093506	0.0
15	0.7944570846699286	0.7911111111111111	0.3745400840571659	0.4819047600030899	0.34305808738425925	0.22252643952546297	0.5363720341435185	0.2779839069902355	0.2136111153676185	0.0009295940399169922	0.001016855239868164	0.0007545948028564453	0.03448629379272461	0.0004963874816894531	0.0003135204315185547	1.0	1.0	1.0	0.8226950354609928	1.0	1.0	1.516472339630127	5.936267375946045
