pixels	vol_theo	vol_num	a_theo	a_faces	a_marching	a_conv_marching	a_porespy	a_gradient	a_conv_gradient	a_gradient_GPU	t_faces	t_marching	t_conv_marching	t_porespy	t_gradient	t_conv_gradient	t_gradient_GPU	con_s_side	con_s_edge	con_s_corner	con_p_side	con_p_edge	con_p_corner	tau_solid	tau_pore
16	0.8445515192985591	0.84375	0.3045865453618913	0.4749999940395355	0.324479341506958	0.10983066260814667	0.42153558135032654	0.2246583271569702	0.16495438471045978	0.22465834021568298	0.0007662773132324219	0.0010821819305419922	0.00048804283142089844	0.017278671264648438	0.00032329559326171875	0.0002052783966064453	0.0003898143768310547	1.0	1.0	1.0	0.0	1.0	1.0	1.5128146409988403	0.0
17	0.8445515192985594	0.8369631589660086	0.2866696897523684	0.4113321751356125	0.286978285448046	0.16285615808823528	0.44666816871374415	0.22609944458771852	0.16400483246212674	0.22609946268191533	0.0008180141448974609	0.0010943412780761719	0.0007915496826171875	0.01758289337158203	0.00025200843811035156	0.000278472900390625	0.0003840923309326172	1.0	1.0	1.0	0.7740324594257177	1.0	1.0	0.0	0.0
18	0.8445515192985594	0.8614540466392319	0.27074359587723684	0.4095860570669174	0.27895879549254116	0.13031890199344673	0.40412247687864367	0.21554936428749233	0.14840046247241098	0.21554938003686558	0.0008754730224609375	0.0013186931610107422	0.0007646083831787109	0.017693519592285156	0.0003104209899902344	0.00022292137145996094	0.0003807544708251953	1.0	1.0	1.0	0.0	1.0	1.0	1.3946373462677002	0.0
19	0.8445515192985591	0.8348155707829129	0.25649393293632955	0.34810709953308105	0.2475061990860548	0.16352328344829786	0.4176967391155781	0.21182417339577816	0.16030494161649864	0.21182416934524895	0.0009202957153320312	0.001306295394897461	0.0009281635284423828	0.017777204513549805	0.0003139972686767578	0.00023245811462402344	0.00038170814514160156	1.0	1.0	1.0	0.8084730803177405	1.0	1.0	1.3324673175811768	7.30430269241333
20	0.8445515192985592	0.832	0.24366923628951306	0.3663157895207405	0.27270062255859373	0.11667636108398438	0.35495330810546877	0.19996618900132304	0.14812620665277554	0.19996620178222657	0.0009789466857910156	0.0016102790832519531	0.0007610321044921875	0.017738819122314453	0.0003421306610107422	0.00024628639221191406	0.0003807544708251953	1.0	1.0	1.0	0.0	1.0	1.0	1.4553773403167725	0.0
21	0.8445515192985592	0.8400820645718605	0.2320659393233458	0.3163265213370323	0.22013873598794675	0.15157695177525377	0.3852157073767007	0.18708973935212836	0.14750091299682547	0.18708975095494548	0.001055002212524414	0.0015380382537841797	0.0012171268463134766	0.018126964569091797	0.0003483295440673828	0.0002658367156982422	0.00038909912109375	1.0	1.0	1.0	0.8210668467251856	1.0	1.0	1.3352441787719727	7.040689945220947
22	0.844551519298559	0.8399699474079639	0.22151748753592093	0.3447461575269699	0.25480646123391715	0.14008870687276953	0.3640818148067712	0.1856283296527711	0.14105358925605485	0.1856283392787965	0.0011057853698730469	0.0019783973693847656	0.0011107921600341797	0.019235610961914062	0.00036644935607910156	0.0002830028533935547	0.00039124488830566406	1.0	1.0	1.0	0.0	1.0	1.0	1.4829094409942627	0.0
23	0.8445515192985591	0.8480315607791568	0.21188629242566354	0.2851005345582962	0.19800472878739622	0.14138976794942262	0.3554766960579847	0.17896583549315628	0.13783813556181476	0.17896585346120655	0.0012116432189941406	0.0017933845520019531	0.0013918876647949219	0.01863837242126465	0.0003485679626464844	0.00030684471130371094	0.0003941059112548828	1.0	1.0	1.0	1.0	1.0	1.0	1.2902640104293823	5.406499862670898
24	0.8445515192985594	0.8379629629629629	0.20305769690792755	0.30434782058000565	0.21952072779337564	0.1520232801084165	0.3585536744859483	0.1827187655926075	0.14312944217582466	0.18271877147533275	0.001277923583984375	0.0022406578063964844	0.0016756057739257812	0.019365310668945312	0.0003902912139892578	0.0003216266632080078	0.0003941059112548828	1.0	1.0	1.0	1.0	1.0	1.0	1.3694652318954468	4.5773420333862305
25	0.844551519298559	0.846208	0.19493538903161045	0.26919999718666077	0.187532078125	0.13175178125	0.329737375	0.16677389191322994	0.1305785846630516	0.166773890625	0.0013921260833740234	0.0021271705627441406	0.0016968250274658203	0.019169092178344727	0.0004024505615234375	0.0003447532653808594	0.0003807544708251953	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
50	0.844551519298559	0.84224	0.09746769451580523	0.14772244915366173	0.1069226328125	0.08123203125	0.18094590625	0.09738299388217465	0.08220211132101736	0.097383	0.004225730895996094	0.010480165481567383	0.008604764938354492	0.03271794319152832	0.0012149810791015625	0.0018086433410644531	0.0004363059997558594	1.0	1.0	1.0	1.0	1.0	1.0	1.360245943069458	3.4172110557556152
51	0.844551519298559	0.8426472472879963	0.09555656325078944	0.13808535039424896	0.09820780304143957	0.07953849086371381	0.1772023015280699	0.09311275175914811	0.0805473789576822	0.09311275452126257	0.0038673877716064453	0.010071277618408203	0.010078907012939453	0.03472900390625	0.0012316703796386719	0.0018548965454101562	0.0004429817199707031	1.0	1.0	1.0	1.0	1.0	1.0	1.3282549381256104	3.129685401916504
100	0.844551519298559	0.844224	0.04873384725790261	0.07301818393170834	0.05283080859375	0.044122234375	0.094537734375	0.050244833369616534	0.04498223094928889	0.0502448359375	0.013279199600219727	0.04944491386413574	0.04810643196105957	0.10025835037231445	0.011297464370727539	0.016143083572387695	0.0005285739898681641	1.0	1.0	1.0	1.0	1.0	1.0	1.3272767066955566	2.679913282394409
101	0.8445515192985592	0.844770605871488	0.04825133391871546	0.07077541574835777	0.050887817765148245	0.04421321338982492	0.09417555828345309	0.04987167285868496	0.044643706504351004	0.04987167433352001	0.014959573745727539	0.04680275917053223	0.05078411102294922	0.10077261924743652	0.012004852294921875	0.01666116714477539	0.0004875659942626953	1.0	1.0	1.0	1.0	1.0	1.0	1.3082371950149536	2.6647114753723145
200	0.844551519298559	0.844432	0.024366923628951306	0.036615075543522835	0.026623873046875	0.023435763671875	0.04874171484375	0.026003529953144724	0.023760409586022806	0.02600353125	0.16106438636779785	0.23341703414916992	0.2888920307159424	0.4594268798828125	0.13205814361572266	0.1794579029083252	0.002184629440307617	1.0	1.0	1.0	1.0	1.0	1.0	1.3275768756866455	2.4596610069274902
201	0.8445515192985594	0.8444584335568266	0.02424569515318539	0.0359285669401288	0.026059114574771006	0.023375288433085187	0.04857241323640947	0.02579209528089713	0.023582267239011936	0.025792095006268626	0.17447900772094727	0.2310962677001953	0.2957115173339844	0.46682143211364746	0.13497328758239746	0.18329668045043945	0.002201080322265625	1.0	1.0	1.0	1.0	1.0	1.0	1.3155745267868042	2.4523119926452637
300	0.8445515192985593	0.8446696296296297	0.01624461575263421	0.02435139287263155	0.017745177083333334	0.015872240740740742	0.03277918981481481	0.01745952660452758	0.01606321319750344	0.01745952662037037	0.6416611671447754	0.6182231903076172	0.837632417678833	1.285024642944336	0.43268632888793945	0.5944368839263916	0.006554126739501953	1.0	1.0	1.0	1.0	1.0	1.0	1.3184359073638916	2.39322566986084
301	0.8445515192985591	0.8445319793431101	0.016190646929535753	0.024069713428616524	0.017508170842980217	0.01588112064027514	0.03272648105759322	0.01739520786367583	0.016010792363977077	0.017395208174456722	0.5940372943878174	0.6029598712921143	0.835540771484375	1.26871657371521	0.4336709976196289	0.597858190536499	0.006539583206176758	1.0	1.0	1.0	1.0	1.0	1.0	1.3135054111480713	2.3879241943359375
400	0.844551519298559	0.8445025	0.012183461814475653	0.018290224950760603	0.0133434453125	0.012038341796875	0.02472323046875	0.013180045028765339	0.01216646107771925	0.013180044921875	1.375412940979004	1.2410595417022705	1.803508996963501	2.672254800796509	1.004631519317627	1.3916010856628418	0.015186309814453125	1.0	1.0	1.0	1.0	1.0	1.0	1.3021485805511475	2.348696708679199
