# bins	 distribution
0.030000	0.000000
0.090000	0.000000
0.150000	0.000000
0.210000	0.000000
0.270000	0.000000
0.330000	0.000000
0.390000	0.000000
0.450000	0.038670
0.510000	0.476927
0.570000	1.417891
0.630000	2.565094
0.690000	3.441609
0.750000	2.887342
0.810000	2.294406
0.870000	1.753029
0.930000	1.005414
0.990000	0.631606
1.050000	0.103119
1.110000	0.038670
1.170000	0.012890
